parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-13-16-PO-5,135.92,28.70,MAIPÚ,ING. E. DOMíNGUEZ / CAMINO LA FARFANA,0,335889,6292782
L-13-36-NS-7,85.00,147.78,MAIPÚ,LLANQUILEF / ING. EDUARDO DOMíNGUEZ,0,334219,6292589
L-13-36-SN-17,149.09,42.06,MAIPÚ,ILIHUE / ING. EDUARDO DOMíNGUEZ,0,334281,6292830
L-13-31-OP-5,2.02,62.26,MAIPÚ,LICANRAY / EL ROSAL,0,334732,6292745
L-13-31-SN-10,126.66,8.76,MAIPÚ,LICANRAY / EL ROSAL,0,334731,6292721
L-13-31-PO-15,135.11,4.39,MAIPÚ,ING. E. DOMíNGUEZ / EL ROSAL,0,334877,6292867
L-13-31-OP-20,10.61,464.19,MAIPÚ,ING. E. DOMíNGUEZ / EL ROSAL,0,334879,6292914
L-13-36-NS-5,76.30,188.53,MAIPÚ,ILIHUE / ING. EDUARDO DOMíNGUEZ,0,334281,6292856
L-13-36-NS-10,202.78,216.25,MAIPÚ,ISABEL RIQUELME / ING. EDUARDO DOMíNGUEZ,0,334293,6292260
L-13-36-SN-15,198.29,29.97,MAIPÚ,MALALHUE / ING. EDUARDO DOMíNGUEZ,0,334255,6292493
L-13-36-SN-20,143.62,19.41,MAIPÚ,CATICURA / ING. EDUARDO DOMíNGUEZ,0,334450,6292970
L-13-36-NS-25,29.02,121.28,MAIPÚ,LICANRAY / ING. EDUARDO DOMíNGUEZ,0,334457,6292992
L-13-36-OP-30,29.86,14.50,MAIPÚ,AYLIN / ING. EDUARDO DOMíNGUEZ,0,334639,6292958
L-13-36-PO-35,305.42,21.12,MAIPÚ,EL ROSAL / ING. EDUARDO DOMíNGUEZ,0,334842,6292869
L-13-38-OP-5,143.74,31.48,MAIPÚ,ING. E. DOMíNGUEZ / ISABEL RIQUELME,0,334324,6292255
L-13-16-PO-10,22.24,20.66,MAIPÚ,EL ROSAL / CAMINO LA FARFANA,0,335085,6293063
L-13-16-OP-15,0.00,2.23,MAIPÚ,LICANRAY / CAMINO LA FARFANA,0,334781,6293192
E-1-4-SN-50,1295.09,1993.23,INDEPENDENCIA,PARADA 1 / NORTE SUR - DORSAL,1,343642,6302734
E-2-9-OP-55,1518.71,716.19,CONCHALI,PARADA 4 / PANAM. NORTE - 14 DE LA FAMA,1,343609,6302869
L-1-2-SN-5,107.67,58.08,INDEPENDENCIA,14 DE LA FAMA / BAJOS DE JIMéNEZ,1,343695,6302784
L-1-2-SN-10,4.98,41.20,INDEPENDENCIA,EUGENIO MATTE / BAJOS DE JIMéNEZ,1,343909,6302493
L-1-2-NS-15,58.79,8.32,INDEPENDENCIA,EUGENIO MATTE / BAJOS DE JIMéNEZ,1,343884,6302499
L-1-3-NS-10,257.10,42.10,INDEPENDENCIA,REINA MARíA / BARÓN DE JURAS REALES,1,344176,6302785
T-2-9-OP-30,180.71,80.21,CONCHALI,LA PRIMAVERA / DORSAL,1,344354,6303198
T-2-9-OP-35,263.84,317.33,CONCHALI,BARÓN DE JURAS REALES / DORSAL,1,344089,6303079
T-1-1-PO-5,201.78,275.74,INDEPENDENCIA,BARÓN DE JURAS R. / 14 DE LA FAMA,1,344055,6302949
T-1-1-PO-15,279.36,115.54,INDEPENDENCIA,FERMíN VIVACETA / 14 DE LA FAMA,1,344454,6303130
L-1-12-NS-5,60.28,14.29,INDEPENDENCIA,REINA MARíA / FERMíN VIVACETA,1,344544,6302995
L-1-12-NS-11,43.69,19.22,INDEPENDENCIA,CORONEL ALVARADO / FERMíN VIVACETA,1,344717,6302689
L-1-16-SN-5,34.43,102.20,INDEPENDENCIA,REINA MARíA / LAS ARAUCARIAS,1,344194,6302777
L-1-16-NS-10,175.63,48.61,INDEPENDENCIA,CORONEL ALVARADO / LAS ARAUCARIAS,1,344287,6302537
L-1-31-PO-5,8.55,45.86,INDEPENDENCIA,ECUADOR / REINA MARíA,1,343866,6302624
L-1-31-PO-10,7.60,94.46,INDEPENDENCIA,LAS ARAUCARIAS / REINA MARíA,1,344173,6302765
L-1-31-PO-15,1.02,13.51,INDEPENDENCIA,3 DE DICIEMBRE / REINA MARíA,1,344419,6302878
L-2-3-NS-5,0.00,24.57,CONCHALI,14 DE LA FAMA / BAJOS DE JIMéNEZ,1,343669,6302809
L-2-4-NS-115,300.94,270.44,CONCHALI,MONTERREY / BARÓN DE JURAS REALES,1,344046,6303073
L-2-4-SN-120,127.11,184.62,CONCHALI,ROMA / BARÓN DE JURAS REALES,1,344072,6303041
L-2-36-SN-5,0.50,59.76,CONCHALI,ROMA / PRIMAVERA,1,344364,6303158
T-2-3-NS-75,626.21,210.37,CONCHALI,CAñETE / AV. INDEPENDENCIA,2,344896,6303185
T-1-3-SN-35,226.04,66.28,INDEPENDENCIA,PARADA 2 / PLAZA CHACABUCO,2,345566,6302439
T-1-3-SN-38,146.57,772.27,INDEPENDENCIA,PARADA 4 / EINSTEIN - INDEPENDENCIA,2,345418,6302598
T-1-3-SN-40,185.54,77.93,INDEPENDENCIA,PARADA 2 / EINSTEIN - INDEPENDENCIA,2,345349,6302686
T-1-3-SN-50,112.55,511.30,INDEPENDENCIA,JOSé PéREZ C. / AV. INDEPENDENCIA,2,344937,6303159
L-1-10-OP-5,23.17,206.90,INDEPENDENCIA,INDEPENDENCIA / EINSTEIN,2,345341,6302720
L-1-10-PO-10,315.66,40.91,INDEPENDENCIA,HUÃNUCO / EINSTEIN,2,345535,6302767
L-1-10-OP-15,37.25,139.84,INDEPENDENCIA,HUÃNUCO / EINSTEIN,2,345562,6302796
L-1-33-NS-5,9.94,43.19,INDEPENDENCIA,EINSTEIN / EL GUANACO,2,345827,6302863
L-2-9-NS-40,20.32,31.82,CONCHALI,PABLO URZÃšA / EL GUANACO,2,345774,6303118
L-1-2-NS-20,72.90,6.15,INDEPENDENCIA,ROSA SALAS / BAJOS DE JIMéNEZ,3,343971,6302369
T-1-427-SN-5,0.00,656.76,INDEPENDENCIA,AURORA DE CHILE / LAS CAñAS,3,344417,6301640
L-1-5-OP-5,4.01,32.67,INDEPENDENCIA,BAJOS DE JIMéNEZ / BRAVO DE SARAVIA,3,344021,6302331
L-1-8-PO-10,24.38,54.17,INDEPENDENCIA,16 NORTE / DOMINGO SANTA MARíA,3,344436,6301443
L-1-8-OP-15,10.98,12.18,INDEPENDENCIA,LAS CAñAS / DOMINGO SANTA MARíA,3,344473,6301461
L-1-8-PO-20,22.32,11.89,INDEPENDENCIA,ENRIQUE SORO / DOMINGO SANTA MARíA,3,344668,6301408
L-1-8-OP-25,7.10,19.56,INDEPENDENCIA,ENRIQUE SORO / DOMINGO SANTA MARíA,3,344713,6301424
L-1-8-OP-35,23.16,23.50,INDEPENDENCIA,ROSEMBLUTH / DOMINGO SANTA MARíA,3,344923,6301413
L-1-12-NS-15,256.91,100.99,INDEPENDENCIA,NUEVA DE MATTE / FERMíN VIVACETA,3,344979,6302150
L-1-12-NS-35,188.66,45.88,INDEPENDENCIA,PADRE LAS CASAS / FERMíN VIVACETA,3,345172,6301616
L-1-12-NS-45,379.80,106.76,INDEPENDENCIA,D. SANTA MARíA / FERMíN VIVACETA,3,345231,6301413
L-1-17-OP-10,13.24,79.47,INDEPENDENCIA,LUIS GALDAMES / LAS ENREDADERAS,3,344499,6302424
L-1-17-OP-15,26.06,31.57,INDEPENDENCIA,LOS MARROQUíES / LAS ENREDADERAS,3,344728,6302440
L-1-18-SN-5,30.21,105.97,INDEPENDENCIA,CORONEL ALVARADO / LUIS GALDAMES,3,344338,6302532
L-1-18-NS-10,155.85,19.89,INDEPENDENCIA,ESCUELA LUIS GALDAMES,3,344457,6302376
L-1-27-PO-5,103.23,53.14,INDEPENDENCIA,FERMíN VIVACETA / ALTAMIRANO,3,344885,6302331
L-1-29-PO-15,129.23,9.53,INDEPENDENCIA,CARLOS TORIBIO R. / NUEVA DE MATTE,3,344452,6302141
L-1-29-OP-20,4.92,104.63,INDEPENDENCIA,GRUMETE P. CORTéS / NUEVA DE MATTE,3,344407,6302157
L-1-29-PO-25,100.69,7.46,INDEPENDENCIA,VICENTE IZQUIERDO / NUEVA DE MATTE,3,344684,6302140
L-1-29-OP-30,3.21,43.60,INDEPENDENCIA,VICENTE IZQUIERDO / NUEVA DE MATTE,3,344715,6302160
L-1-29-PO-35,116.27,22.99,INDEPENDENCIA,FERMíN VIVACETA / NUEVA DE MATTE,3,344990,6302134
L-1-8-OP-57,2.41,20.31,INDEPENDENCIA,MÃLAGA / DOMINGO SANTA MARíA,4,345876,6301414
L-1-4-PO-5,51.12,31.66,INDEPENDENCIA,FERMíN VIVACETA / BEZANILLA,4,345350,6301149
L-1-4-PO-10,87.68,29.75,INDEPENDENCIA,ESCANILLA / BEZANILLA,4,345590,6301156
L-1-4-PO-15,92.67,444.66,INDEPENDENCIA,INDEPENDENCIA / BEZANILLA,4,345979,6301174
T-1-3-SN-10,552.19,1592.24,INDEPENDENCIA,SANTA MARíA / AV. INDEPENDENCIA,4,345930,6301385
T-1-3-SN-12,135.30,823.06,INDEPENDENCIA,CENTRAL / AV. INDEPENDENCIA,4,345835,6301616
T-1-3-SN-17,310.13,903.72,INDEPENDENCIA,AV FRANCIA / AV. INDEPENDENCIA,4,345746,6301850
T-1-3-NS-30,809.44,358.94,INDEPENDENCIA,FRANCIA / AV. INDEPENDENCIA,4,345712,6301879
T-1-3-NS-35,1038.10,133.19,INDEPENDENCIA,AV. CENTRAL / AV. INDEPENDENCIA,4,345798,6301673
T-1-3-NS-40,1534.98,690.11,INDEPENDENCIA,SANTA MARíA / AV. INDEPENDENCIA,4,345883,6301447
T-1-3-NS-45,2873.68,1934.89,INDEPENDENCIA,BEZANILLA / AV. INDEPENDENCIA,4,345979,6301209
T-1-3-NS-55,5043.16,1490.50,INDEPENDENCIA,GAMERO / AV. INDEPENDENCIA,4,346035,6300916
L-1-8-OP-45,28.53,48.44,INDEPENDENCIA,FERMíN VIVACETA / DOMINGO SANTA MARíA,4,345268,6301401
L-1-8-OP-50,11.56,8.40,INDEPENDENCIA,ESCANILLA / DOMINGO SANTA MARíA,4,345499,6301402
L-1-8-OP-55,30.92,10.43,INDEPENDENCIA,MARURI / DOMINGO SANTA MARíA,4,345753,6301409
L-1-12-NS-25,185.88,82.97,INDEPENDENCIA,JULIET / FERMíN VIVACETA,4,345105,6301852
L-1-12-SN-30,64.64,179.10,INDEPENDENCIA,FRANCIA / FERMíN VIVACETA,4,345129,6301829
L-1-12-SN-40,44.76,137.42,INDEPENDENCIA,CENTRAL / FERMíN VIVACETA,4,345204,6301589
L-1-13-OP-20,498.66,933.40,INDEPENDENCIA,FERMíN VIVACETA / GAMERO,4,345418,6300742
L-1-13-OP-30,221.00,542.96,INDEPENDENCIA,ESCANILLA / GAMERO,4,345645,6300793
L-1-13-OP-35,767.42,319.92,INDEPENDENCIA,AMALIA ERRÃZURIZ / GAMERO,4,345935,6300851
L-1-23-OP-5,121.27,228.61,INDEPENDENCIA,INDEPENDENCIA / PROF. ALBERTO ZAñARTU,4,346028,6301197
T-1-4-SN-25,67.58,439.45,INDEPENDENCIA,LONGITUDINAL / PDTE. EDUARDO FREI M.,5,343995,6301059
T-1-4-SN-26,409.22,246.16,INDEPENDENCIA,LEY 1838 / PDTE. EDUARDO FREI M.,5,343935,6301308
T-1-4-SN-30,494.57,1502.65,INDEPENDENCIA,D. SANTA MARíA / PDTE. EDUARDO FREI M.,5,343908,6301501
T-1-428-OP-5,1168.92,61.92,INDEPENDENCIA,NUEVA 5 / CORREGIMIENTO,5,344309,6301840
L-1-8-OP-5,17.81,46.34,INDEPENDENCIA,NUEVA 1 / DOMINGO SANTA MARíA,5,344169,6301517
L-1-19-NS-5,42.82,8.00,INDEPENDENCIA,NUEVA DE MATTE / NUEVA 1,5,344069,6302141
L-1-19-SN-10,7.17,13.13,INDEPENDENCIA,NUEVA DE MATTE / NUEVA 1,5,344091,6302099
L-1-19-NS-15,10.00,15.91,INDEPENDENCIA,CORREGIMIENTO / NUEVA 1,5,344104,6301815
L-1-19-SN-20,8.21,13.63,INDEPENDENCIA,CORREGIMIENTO / NUEVA 1,5,344130,6301770
L-1-19-NS-25,60.85,46.10,INDEPENDENCIA,D. SANTA MARíA / NUEVA 1,5,344138,6301530
L-1-25-NS-5,678.56,633.38,INDEPENDENCIA,LEY 338 / SALOMÓN SACK,5,343963,6301510
L-1-25-SN-10,511.95,920.96,INDEPENDENCIA,D. SANTA MARíA / SALOMÓN SACK,5,343980,6301517
L-1-25-PO-15,975.51,94.70,INDEPENDENCIA,ALC. DOMíNGUEZ / SALOMÓN SACK,5,344171,6301258
L-1-25-OP-20,207.77,428.64,INDEPENDENCIA,ALC. DOMíNGUEZ / SALOMÓN SACK,5,344212,6301251
L-1-25-PO-25,844.12,175.59,INDEPENDENCIA,ENRIQUE SORO / SALOMÓN SACK,5,344485,6301025
L-1-29-OP-5,0.96,51.33,INDEPENDENCIA,NUEVA 1 / NUEVA DE MATTE,5,344091,6302145
L-1-29-PO-10,38.54,12.11,INDEPENDENCIA,LAS CAñAS / NUEVA DE MATTE,5,344243,6302141
T-1-4-OP-15,182.27,279.40,INDEPENDENCIA,GENERAL BULNES / PDTE. EDUARDO FREI M.,6,344663,6300299
L-1-8-PO-30,38.00,17.03,INDEPENDENCIA,AMUNÃTEGUI / DOMINGO SANTA MARíA,6,344927,6301392
L-1-8-PO-40,48.64,32.58,INDEPENDENCIA,FERMíN VIVACETA / DOMINGO SANTA MARíA,6,345224,6301386
L-1-12-SN-50,86.63,279.31,INDEPENDENCIA,D. SANTA MARíA / FERMíN VIVACETA,6,345269,6301369
L-1-12-NS-55,198.74,108.53,INDEPENDENCIA,EL MOLINO / FERMíN VIVACETA,6,345318,6301113
L-1-12-NS-56,56.56,256.98,INDEPENDENCIA,GAMERO / FERMíN VIVACETA,6,345384,6300742
L-1-12-SN-57,70.92,159.28,INDEPENDENCIA,BEZANILLA / FERMíN VIVACETA,6,345322,6301141
L-1-25-OP-30,155.82,795.48,INDEPENDENCIA,ENRIQUE SORO / SALOMÓN SACK,6,344524,6301022
L-1-25-PO-35,1367.78,144.66,INDEPENDENCIA,SOBERANíA / SALOMÓN SACK,6,344750,6300891
L-1-25-OP-40,120.90,988.88,INDEPENDENCIA,SOBERANíA / SALOMÓN SACK,6,344781,6300890
L-1-25-PO-45,470.11,37.35,INDEPENDENCIA,EL PINO / SALOMÓN SACK,6,344998,6300765
L-1-25-OP-50,57.86,243.76,INDEPENDENCIA,LA OBRA / SALOMÓN SACK,6,345002,6300779
L-1-25-PO-55,847.26,117.34,INDEPENDENCIA,GAMERO / SALOMÓN SACK,6,345144,6300696
T-1-3-NS-56,1415.80,999.70,INDEPENDENCIA,COLÓN / AV. INDEPENDENCIA,7,346064,6300732
T-1-3-NS-60,767.60,804.16,INDEPENDENCIA,RIVERA / AV. INDEPENDENCIA,7,346145,6300381
L-1-6-PO-5,1700.87,1249.70,INDEPENDENCIA,INDEPENDENCIA / COLÓN,7,346059,6300685
L-1-11-NS-5,648.50,30.94,INDEPENDENCIA,COLÓN / ESCANILLA,7,345660,6300611
L-1-12-SN-70,13.88,14.10,INDEPENDENCIA,COLÓN / FERMíN VIVACETA,7,345480,6300525
L-1-12-NS-75,108.48,25.86,INDEPENDENCIA,RIVERA / FERMíN VIVACETA,7,345566,6300164
L-1-13-PO-25,444.58,189.93,INDEPENDENCIA,ESCANILLA / GAMERO,7,345617,6300758
L-1-24-OP-5,16.43,47.59,INDEPENDENCIA,FERMíN VIVACETA / RIVERA,7,345602,6300171
T-1-3-SN-1,574.19,451.33,INDEPENDENCIA,OLIVOS / AV. INDEPENDENCIA,8,346123,6300532
T-1-3-SN-3,1849.02,5882.10,INDEPENDENCIA,SANTOS DUMONT / AV. INDEPENDENCIA,8,346071,6300817
T-1-3-SN-5,1985.88,2892.58,INDEPENDENCIA,PROFESOR ZAñARTU / AV. INDEPENDENCIA,8,346005,6301147
L-1-9-OP-5,915.63,740.65,INDEPENDENCIA,INDEPENDENCIA / ECHEVERRíA,8,346207,6300355
L-1-9-OP-10,59.06,96.76,INDEPENDENCIA,LICEO I. CARRERA. P. / ECHEVERRíA,8,346463,6300381
L-1-20-PO-5,14.89,20.53,INDEPENDENCIA,LA PAZ / LOS OLIVOS,8,346167,6300570
L-1-20-PO-10,111.54,60.46,INDEPENDENCIA,INDEPENDENCIA / LOS OLIVOS,8,346460,6300550
L-1-23-PO-10,660.77,175.88,INDEPENDENCIA,SAN JOSé / PROF. ALBERTO ZAñARTU,8,346329,6301185
L-1-26-OP-5,679.77,2459.35,INDEPENDENCIA,INDEPENDENCIA / SANTOS DUMONT,8,346123,6300846
L-4-25-OP-5,26.61,156.67,RECOLETA,SAN JOSé / PROF. ALBERTO ZAñARTU,8,346349,6301201
T-1-4-OP-5,33.52,194.22,INDEPENDENCIA,CANALES / PDTE. EDUARDO FREI M.,9,345281,6300049
T-1-4-OP-10,59.08,180.21,INDEPENDENCIA,5 NORTE / PDTE. EDUARDO FREI M.,9,344989,6300168
L-1-12-SN-60,36.50,108.40,INDEPENDENCIA,GAMERO / FERMíN VIVACETA,9,345414,6300715
L-1-12-NS-65,46.88,7.55,INDEPENDENCIA,BALDOMERO FLORES / FERMíN VIVACETA,9,345450,6300557
L-1-13-OP-5,87.45,393.84,INDEPENDENCIA,FIDEL MONJE / GAMERO,9,345216,6300697
L-1-13-PO-10,1154.38,318.48,INDEPENDENCIA,FERMíN VIVACETA / GAMERO,9,345382,6300716
T-6-7-OP-3,614.09,581.21,QUILICURA,PAS. SUR / CALETERA VESPUCIO,10,342066,6306882
T-2-8-SN-36,194.62,567.85,CONCHALI,ALTURA 5900 / PDTE. EDUARDO FREI M.,10,342192,6306176
T-2-8-SN-40,73.15,38.14,CONCHALI,FORESTAL / PDTE. EDUARDO FREI M.,10,342086,6306448
T-2-3-NS-4,1912.35,94.22,CONCHALI,PARADA 6 / INDEPENDENCIA - VESPUCIO,10,342835,6306848
T-2-3-NS-7,128.46,244.88,CONCHALI,PARADA {3} / INDEPENDENCIA - VESPUCIO,10,342840,6306707
T-2-3-NS-10,627.57,154.38,CONCHALI,HéROES DE IQUIQUE 2 / AV. INDEPENDENCIA,10,342902,6306514
T-2-3-NS-15,365.95,43.28,CONCHALI,H. LA CONCEPCIÓN / AV. INDEPENDENCIA,10,342995,6306246
T-2-3-NS-20,1805.77,274.70,CONCHALI,JOSé MARíA CARO / AV. INDEPENDENCIA,10,343092,6306046
T-2-3-SN-60,48.19,442.44,CONCHALI,ARGEL / AV. INDEPENDENCIA,10,343017,6306257
T-2-7-PO-5,730.30,477.31,CONCHALI,C. EMP. CORTIJO / CALETERA VESPUCIO,10,342160,6306807
T-2-7-PO-6,385.30,785.23,CONCHALI,PARADA 5 / INDEPENDENCIA - VESPUCIO,10,342738,6306843
T-2-7-PO-7,1302.15,517.48,CONCHALI,PARADA 4 / INDEPENDENCIA - VESPUCIO,10,342795,6306833
L-2-6-OP-5,78.94,173.69,CONCHALI,PANAMERICANA / CARD. JOSé MARíA CARO,10,342325,6305952
L-2-6-OP-16,188.03,152.45,CONCHALI,JULIO MONTT S. / CARD. JOSé MARíA CARO,10,342702,6305978
L-2-17-NS-5,128.62,10.49,CONCHALI,HéROES DE IQUIQUE / JULIO MONTT SALAMANCA,10,342645,6306447
L-2-17-SN-10,19.38,601.39,CONCHALI,HéROES DE IQUIQUE / JULIO MONTT SALAMANCA,10,342663,6306420
L-2-17-NS-15,235.90,19.19,CONCHALI,PASAJE 41 / JULIO MONTT SALAMANCA,10,342660,6306214
L-2-17-SN-20,11.55,92.85,CONCHALI,PASAJE 41 / JULIO MONTT SALAMANCA,10,342679,6306193
L-2-17-NS-30,336.35,43.46,CONCHALI,JOSé MARíA CARO / JULIO MONTT SALAMANCA,10,342670,6305979
L-2-18-OP-5,455.77,23.99,CONCHALI,JULIO PARRA S. / JULIO PARRA SANTOS,10,342667,6306682
L-2-22-SN-10,151.76,57.46,CONCHALI,JOSé MARíA CARO / PDTE. EDUARDO FREI M.,10,342273,6305988
T-2-7-PO-15,1959.35,1078.03,CONCHALI,MALL PLAZA NORTE / CALETERA VESPUCIO,11,343787,6306642
T-2-7-PO-20,205.55,53.51,CONCHALI,VERSALLES / CALETERA VESPUCIO,11,344007,6306547
T-2-7-PO-25,1230.42,315.55,CONCHALI,PEDRO FONTOVA / CALETERA VESPUCIO,11,344507,6306322
T-2-3-SN-65,324.14,671.19,CONCHALI,ASUNCIÓN 2 / AV. INDEPENDENCIA,11,342923,6306522
T-2-3-SN-70,278.24,1982.39,CONCHALI,PARADA 2 / INDEPENDENCIA - VESPUCIO,11,342861,6306803
T-2-7-PO-10,277.21,106.44,CONCHALI,PASO INDEPENDENCIA / CALETERA VESPUCIO,11,343191,6306808
L-2-1-PO-5,80.04,7.45,CONCHALI,CANBERRA / ALTONA,11,343423,6306319
L-2-1-PO-10,93.08,2.70,CONCHALI,ERNESTO RIED / ALTONA,11,343613,6306248
L-2-6-OP-25,581.22,600.21,CONCHALI,INDEPENDENCIA / CARD. JOSé MARíA CARO,11,343141,6306034
L-2-10-NS-10,23.08,3.49,CONCHALI,ALTONA / ERNESTO RIED,11,343632,6306264
L-2-14-NS-5,21.48,30.25,CONCHALI,VERACRUZ / GRANADA,11,343088,6306481
L-2-14-NS-10,13.97,19.15,CONCHALI,ARGEL / GRANADA,11,343161,6306289
L-2-14-NS-15,35.67,162.87,CONCHALI,JOSé MARíA CARO / GRANADA,11,343251,6306105
L-2-15-PO-5,40.26,179.45,CONCHALI,GRANADA / HUECHURABA,11,343018,6306674
L-2-15-OP-10,1.92,66.07,CONCHALI,GRANADA / HUECHURABA,11,343074,6306681
L-2-15-PO-15,94.10,8.42,CONCHALI,ALBANY / HUECHURABA,11,343279,6306597
L-2-15-OP-20,0.51,21.48,CONCHALI,ALBANY / HUECHURABA,11,343322,6306617
L-2-15-PO-25,97.32,22.15,CONCHALI,CANBERRA / HUECHURABA,11,343524,6306582
L-2-15-OP-30,3.11,87.95,CONCHALI,CANBERRA / HUECHURABA,11,343572,6306586
L-2-15-PO-35,244.85,97.18,CONCHALI,ERNESTO RIED / HUECHURABA,11,343697,6306466
L-2-15-OP-40,11.12,202.85,CONCHALI,ERNESTO RIED / HUECHURABA,11,343753,6306466
L-2-15-OP-50,4.68,76.28,CONCHALI,MARACAIBO / HUECHURABA,11,344054,6306317
L-2-15-OP-60,6.19,39.76,CONCHALI,TÃNGER / HUECHURABA,11,344256,6306247
T-2-3-SN-53,453.45,1916.61,CONCHALI,JOSé MARíA CARO 1 / AV. INDEPENDENCIA,12,343185,6305918
L-2-6-PO-30,194.47,26.87,CONCHALI,GRANADA / CARD. JOSé MARíA CARO,12,343261,6306058
L-2-6-PO-35,132.32,75.36,CONCHALI,ERNESTO RIED / CARD. JOSé MARíA CARO,12,343534,6306010
L-2-6-OP-40,176.70,380.48,CONCHALI,ERNESTO RIED / CARD. JOSé MARíA CARO,12,343573,6306020
L-2-6-PO-45,221.06,61.40,CONCHALI,TOKIO / CARD. JOSé MARíA CARO,12,343709,6305939
L-2-6-OP-50,149.20,279.59,CONCHALI,TOKIO / CARD. JOSé MARíA CARO,12,343771,6305951
L-2-6-PO-55,183.24,67.86,CONCHALI,TUPUNGATO / CARD. JOSé MARíA CARO,12,343913,6305874
L-2-6-OP-60,149.81,253.28,CONCHALI,ISABEL CARRERA / CARD. JOSé MARíA CARO,12,344035,6305848
L-2-6-PO-65,214.80,75.46,CONCHALI,PUNTIAGUDO / CARD. JOSé MARíA CARO,12,344159,6305697
L-2-10-SN-5,120.30,30.78,CONCHALI,HUECHURABA / ERNESTO RIED,12,343717,6306440
L-2-10-NS-15,61.06,38.28,CONCHALI,JOSé MARíA CARO / ERNESTO RIED,12,343554,6306035
L-2-14-SN-20,34.11,50.69,CONCHALI,JOSé MARíA CARO / GRANADA,12,343298,6306051
L-2-14-NS-25,38.71,41.46,CONCHALI,MUNICH / GRANADA,12,343470,6305724
L-2-14-OP-30,20.39,67.15,CONCHALI,MUNICH / GRANADA,12,343503,6305703
L-2-15-PO-45,169.30,35.75,CONCHALI,TUPUNGATO / HUECHURABA,12,344045,6306297
L-2-31-OP-5,1.99,56.82,CONCHALI,INDEPENDENCIA / LA CORUñA,12,343374,6305636
L-2-5-OP-5,50.50,119.82,CONCHALI,HORACIO JOHNSON / CALLE G,13,344746,6306179
L-2-6-OP-70,101.13,210.32,CONCHALI,PUNTIAGUDO / CARD. JOSé MARíA CARO,13,344190,6305692
L-2-6-NS-75,74.85,55.65,CONCHALI,RUPANCO / CARD. JOSé MARíA CARO,13,344289,6305569
L-2-6-SN-80,111.94,156.91,CONCHALI,RUPANCO / CARD. JOSé MARíA CARO,13,344321,6305560
L-2-6-PO-85,178.25,102.63,CONCHALI,PEDRO FONTOVA / CARD. JOSé MARíA CARO,13,344408,6305435
L-2-6-OP-90,67.02,56.11,CONCHALI,PEDRO FONTOVA / CARD. JOSé MARíA CARO,13,344453,6305425
L-2-15-PO-55,159.82,13.87,CONCHALI,C. DE LOS ANDES / HUECHURABA,13,344249,6306219
L-2-15-PO-65,332.22,84.28,CONCHALI,PALENA / HUECHURABA,13,344487,6306180
L-2-15-OP-70,75.16,526.50,CONCHALI,PEDRO FONTOVA / HUECHURABA,13,344562,6306201
L-2-15-PO-75,112.24,17.05,CONCHALI,JOHNSON / HUECHURABA,13,344686,6306166
L-2-23-SN-5,25.43,240.12,CONCHALI,HUECHURABA / PEDRO FONTOVA,13,344559,6306165
L-2-23-NS-10,118.47,58.82,CONCHALI,HUECHURABA / PEDRO FONTOVA,13,344541,6306153
L-2-23-NS-15,229.40,29.55,CONCHALI,TOLTéN / PEDRO FONTOVA,13,344517,6305958
L-2-23-SN-20,17.80,89.62,CONCHALI,ITATA / PEDRO FONTOVA,13,344535,6305921
L-2-23-NS-25,203.99,15.84,CONCHALI,NAVIDAD / PEDRO FONTOVA,13,344491,6305711
L-2-23-NS-35,221.31,62.24,CONCHALI,IGNACIO CARRERA / PEDRO FONTOVA,13,344468,6305491
L-2-23-NS-40,167.54,23.39,CONCHALI,NAHUELBUTA / PEDRO FONTOVA,13,344377,6305332
L-2-30-SN-5,32.25,50.54,CONCHALI,HUECHURABA / HORACIO JOHNSON,13,344714,6306147
L-2-30-NS-10,11.14,15.41,CONCHALI,ITATA / HORACIO JOHNSON,13,344706,6305948
L-2-30-SN-15,12.45,12.77,CONCHALI,COELEMU / HORACIO JOHNSON,13,344718,6305977
L-2-30-NS-20,26.80,41.29,CONCHALI,HALCONES / HORACIO JOHNSON,13,344736,6305793
L-2-5-OP-6,54.21,150.26,CONCHALI,EL MERCURIO / CALLE G,14,345055,6306069
L-2-5-PO-7,190.38,25.84,CONCHALI,JUAN MUñOZ / CALLE G,14,345046,6306046
L-2-23-SN-30,20.61,80.87,CONCHALI,NAVIDAD / PEDRO FONTOVA,14,344505,6305670
L-2-24-OP-5,24.55,91.71,CONCHALI,ANGELMÓ / IGNACIO CARRERA PINTO,14,344548,6305438
L-2-24-OP-15,34.88,47.75,CONCHALI,JOHNSON / IGNACIO CARRERA PINTO,14,344749,6305387
L-2-30-SN-25,79.72,29.08,CONCHALI,DEL GRANITO / HORACIO JOHNSON,14,344777,6305745
L-2-30-NS-30,13.69,20.50,CONCHALI,ELISA UNDURRAGA / HORACIO JOHNSON,14,344731,6305578
L-2-30-SN-35,35.72,10.16,CONCHALI,ELISA UNDURRAGA / HORACIO JOHNSON,14,344765,6305541
L-2-30-NS-40,16.68,43.42,CONCHALI,IGNACIO CARRERA / HORACIO JOHNSON,14,344723,6305416
