parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-23-10-SN-5,,,LA PINTANA,EL OMBÃš / EL FUNDADOR,346,350392,6281664
L-23-4-PO-15,184.10,98.84,LA PINTANA,AV. JUANITA / BATALLÓN CHACABUCO,346,349768,6282008
L-23-4-OP-20,404.14,154.53,LA PINTANA,AV. JUANITA / BATALLÓN CHACABUCO,346,349810,6282038
L-23-4-PO-25,48.37,108.11,LA PINTANA,SOLDADO LIRA / BATALLÓN CHACABUCO,346,349946,6282034
L-23-4-PO-30,99.16,58.07,LA PINTANA,SOLDADO MARTíNEZ / BATALLÓN CHACABUCO,346,350086,6282022
L-23-4-OP-35,70.29,83.23,LA PINTANA,SOLDADO MARTíNEZ / BATALLÓN CHACABUCO,346,350116,6282070
L-23-4-OP-45,285.54,142.97,LA PINTANA,LOS ALCALDES / BATALLÓN CHACABUCO,346,350397,6282099
L-23-4-PO-50,81.50,118.04,LA PINTANA,EL SAGRARIO / BATALLÓN CHACABUCO,346,350577,6282095
L-23-4-OP-55,183.81,83.63,LA PINTANA,EL SAGRARIO / BATALLÓN CHACABUCO,346,350594,6282116
T-34-205-SN-10,525.40,29.19,PUENTE ALTO,PARADA 2 / P. 47 SANTA ROSA,347,349115,6279248
T-23-205-NS-100,83.34,789.74,LA PINTANA,PARADA 1 / P. 45 SANTA ROSA,347,349089,6279644
T-23-205-NS-105,29.44,254.67,LA PINTANA,PARADA 1 / P. 47 SANTA ROSA,347,349100,6279344
T-23-205-NS-110,3.30,222.47,LA PINTANA,PARADA 1 / P. 48 SANTA ROSA,347,349103,6279002
L-23-11-OP-5,37.76,60.39,LA PINTANA,PARADA 6 / P. 47 SANTA ROSA,347,349069,6279304
L-23-11-OP-15,9.57,17.09,LA PINTANA,EL PARQUE / EL OLIVAR,347,348558,6279350
L-23-11-OP-20,13.35,12.50,LA PINTANA,LOS TILOS / EL OLIVAR,347,348300,6279375
L-23-11-OP-25,24.61,31.96,LA PINTANA,LOS DURAZNOS / EL OLIVAR,347,348049,6279397
L-23-11-OP-35,11.54,8.63,LA PINTANA,LOS GRANADOS / EL OLIVAR,347,347533,6279443
L-23-30-NS-10,9.80,2.86,LA PINTANA,LOS NOGALES / LOS GRANADOS,347,347499,6279245
L-23-30-NS-15,23.68,5.16,LA PINTANA,LOS PALTOS / LOS GRANADOS,347,347481,6279034
L-23-33-PO-10,26.60,36.23,LA PINTANA,LOS DURAZNOS / LOS PALTOS,347,347976,6278968
L-34-16-SN-5,377.59,97.98,PUENTE ALTO,PARADA 2 / P. 48 SANTA ROSA,347,349120,6278911
L-34-83-SN-35,5.53,16.32,PUENTE ALTO,RíO COLORADO / SANTA ROSA,347,349124,6279263
L-34-83-SN-40,17.70,31.37,PUENTE ALTO,PARADA 4 / P. 47 SANTA ROSA,347,349114,6279553
L-23-29-SN-5,24.19,17.40,LA PINTANA,EL OLIVAR / LOS DURAZNOS,347,348044,6279356
L-23-29-SN-10,10.41,7.27,LA PINTANA,LOS NOGALES / LOS DURAZNOS,347,348029,6279161
L-23-29-NS-20,11.35,2.02,LA PINTANA,LOS MANZANOS / LOS DURAZNOS,347,347969,6278770
L-23-33-OP-5,40.66,43.88,LA PINTANA,LOS DURAZNOS / LOS PALTOS,347,348027,6278976
L-23-13-SN-5,7.15,0.92,LA PINTANA,LOS PALTOS / EL PARQUE,347,348532,6278897
L-23-6-PO-25,11.10,11.03,LA PINTANA,LOS GRANADOS 2 / CAMINO EL MARISCAL,347,347540,6279868
L-23-6-PO-40,5.07,7.25,LA PINTANA,EL PARQUE 1 / CAMINO EL MARISCAL,347,348108,6279811
L-23-6-PO-45,14.42,3.38,LA PINTANA,EL PARQUE 2 / CAMINO EL MARISCAL,347,348541,6279767
L-23-6-OP-55,139.69,58.87,LA PINTANA,PARADA 4 / P. 45 SANTA ROSA,347,349037,6279751
L-23-6-PO-60,67.35,225.53,LA PINTANA,PARADA 3 / P. 45 SANTA ROSA,347,349059,6279729
L-23-11-PO-5,17.05,5.04,LA PINTANA,EL PARQUE / EL OLIVAR,347,348300,6279336
L-23-11-PO-10,16.52,5.18,LA PINTANA,LOS NARANJOS / EL OLIVAR,347,348623,6279320
L-23-11-PO-15,31.44,49.83,LA PINTANA,PARADA 3 / P. 47 SANTA ROSA,347,349085,6279288
T-24-442-OP-5,1.92,1.98,SAN RAMÓN,RIVADAVIA 1 / PARROQUIA,348,347897,6289617
T-24-442-OP-10,23.14,32.81,SAN RAMÓN,RIVADAVIA 2 / PARROQUIA,348,347701,6289651
T-24-205-NS-10,247.84,402.52,SAN RAMÓN,PARADA 3 / P. 18 SANTA ROSA,348,348037,6289595
T-24-205-NS-15,201.76,235.88,SAN RAMÓN,PARADA 3 / P. 19 SANTA ROSA,348,348069,6289291
T-24-205-NS-20,123.52,261.63,SAN RAMÓN,PARADA 1 / P. 19 SANTA ROSA,348,348082,6289202
L-24-26-OP-5,78.49,25.72,SAN RAMÓN,SAN FRANCISCO / SANTA ANA,348,347131,6289487
L-24-26-PO-10,30.93,93.58,SAN RAMÓN,ALVEAR / SANTA ANA,348,347354,6289370
L-24-26-OP-15,140.06,34.07,SAN RAMÓN,ALVEAR / SANTA ANA,348,347379,6289378
L-24-26-PO-20,46.70,109.02,SAN RAMÓN,RIVADAVIA / SANTA ANA,348,347607,6289316
L-24-26-OP-25,101.88,37.11,SAN RAMÓN,RIVADAVIA / SANTA ANA,348,347636,6289318
L-24-26-PO-30,43.95,90.92,SAN RAMÓN,CARMEN / SANTA ANA,348,347862,6289280
