id,name,lat,lon
0,0,-33.676019997477745,-71.22308018098425
1,1,-33.67543489895671,-71.17933319375805
2,2,-33.685667232474444,-71.20217540054878
3,3,-33.68624580085371,-71.24593123327635
4,4,-33.69589540579147,-71.22502314240106
5,5,-33.69280674856995,-71.00640438710377
6,6,-33.67294233429325,-71.00448192759951
7,7,-33.68254604744275,-70.98360115090833
8,8,-33.68187624555641,-70.93992759487485
9,9,-33.69214341985427,-70.96272186376095
10,10,-33.68320068087997,-71.02728853067656
11,11,-33.74003517089447,-70.85834795958752
12,12,-33.74074196075486,-70.90200603561182
13,13,-33.75030997797428,-70.88113087628008
14,14,-33.760580670363304,-70.90391941047461
15,15,-33.293175439705934,-70.88083110034658
16,16,-33.273200891815506,-70.87892347866212
17,17,-33.50670943560647,-70.55328598361093
18,18,-33.516258484163224,-70.53246994458225
19,19,-33.47647394984072,-70.52871696762094
20,20,-33.4868160146261,-70.5514074499774
21,21,-33.507488095278354,-70.59680546658463
22,22,-33.51704578124554,-70.57598436037198
23,23,-33.51781809978515,-70.61951299084954
24,24,-33.52737810324792,-70.59868841822866
25,25,-33.48759237228571,-70.59492284231985
26,26,-33.49715406499925,-70.57410361796134
27,27,-33.497924086145844,-70.61762815727299
28,28,-33.5464791377124,-70.55704403108402
29,29,-33.55681206648676,-70.57974682652801
30,30,-33.56635541405654,-70.55892354508605
31,31,-33.52659714409996,-70.55516484395272
32,32,-33.53693178253831,-70.57786542986709
33,33,-33.45657312005811,-70.52684096855728
34,34,-33.43666658507415,-70.5249652956635
35,35,-33.45735349724349,-70.57034311406862
36,36,-33.466916883559946,-70.54952924297106
37,37,-33.46769093667115,-70.5930405453531
38,38,-33.47725663619703,-70.57222320255396
39,39,-33.437444650550056,-70.56846335242409
40,40,-33.44701204481597,-70.54765136251069
41,41,-33.44778379084268,-70.59115857560307
42,42,-33.35698344159463,-70.51746586416702
43,43,-33.366558248612236,-70.49666647509231
44,44,-33.36733566146325,-70.54014310450704
45,45,-33.37691277313178,-70.51934023319134
46,46,-33.33704841701678,-70.5155918209077
47,47,-33.346627234339195,-70.49479431167053
48,48,-33.368098153792424,-70.58363396714542
49,49,-33.37768388824868,-70.56282602772383
50,50,-33.38802811625791,-70.58551462884088
51,51,-33.40718525396102,-70.54389658090344
52,52,-33.416754347307126,-70.52308994885858
53,53,-33.417530098535096,-70.5665839175392
54,54,-33.427101500809066,-70.54577380851516
55,55,-33.38726330670054,-70.54201967959443
56,56,-33.396836409182306,-70.52121492806154
57,57,-33.397609843623904,-70.56470480933284
58,58,-33.356199738840026,-70.47399841025648
59,59,-33.33626704539697,-70.4721284519748
60,60,-33.327463286835396,-70.5363909326733
61,61,-33.33781488586955,-70.55906944397354
62,62,-33.54065469164778,-70.7956703245348
63,63,-33.550245303012154,-70.77482386450701
64,64,-33.56054637018282,-70.79757218745422
65,65,-33.520757283149706,-70.7937687921305
66,66,-33.53035189173307,-70.77292421371357
67,67,-33.490547889032655,-70.76912590246444
68,68,-33.500144165797764,-70.74828662754751
69,69,-33.50085414707954,-70.79186759015943
70,70,-33.510452752941774,-70.77102489306003
71,71,-33.470637302407056,-70.76722724184502
72,72,-33.48023757759017,-70.74638984788845
73,73,-33.56866704141644,-70.68956136047477
74,74,-33.57823000780009,-70.66872453897969
75,75,-33.578979160161424,-70.71229374862244
76,76,-33.58854445364711,-70.69145348254135
77,77,-33.54878390194306,-70.6876695673728
78,78,-33.558350870688834,-70.66683462832819
79,79,-33.559097746649975,-70.71039974403472
80,80,-33.617202357960124,-70.62894207669072
81,81,-33.58778664584351,-70.64788928488487
82,82,-33.59733695559616,-70.62705560352317
83,83,-33.598103417743545,-70.67061477830151
84,84,-33.570132984391506,-70.77672384552221
85,85,-33.61872479573915,-70.71608274590108
86,86,-33.62828208689281,-70.69523871389522
87,87,-33.63858901307199,-70.71797773875555
88,88,-33.5988548439812,-70.7141880825506
89,89,-33.60841613626147,-70.69334593365429
90,90,-33.5185754244779,-70.66305579270977
91,91,-33.528144072844995,-70.6422261857488
92,92,-33.52889503760751,-70.68577810315382
93,93,-33.53846600878679,-70.6649450462654
94,94,-33.498679120153,-70.66116686757975
95,95,-33.508251772100905,-70.64033914240797
96,96,-33.509000450797146,-70.68388696773617
97,97,-33.55758897221114,-70.62328364135001
98,98,-33.56714096454786,-70.6024553039801
99,99,-33.56791151210021,-70.64600125690572
100,100,-33.57746582622314,-70.62516945843679
101,101,-33.5377063959372,-70.62139815218141
102,102,-33.5472623938002,-70.6005716973334
103,103,-33.54803065364056,-70.64411355722088
104,104,-33.50973411613787,-70.7274488991308
105,105,-33.519317740067315,-70.70661272255383
106,106,-33.52004503134477,-70.7501837368893
107,107,-33.65173923606504,-70.91522499820489
108,108,-33.66201228557286,-70.9380114513024
109,109,-33.6716049572377,-70.91713892593448
110,110,-33.59072757516278,-70.8222305462116
111,111,-33.601018755123924,-70.84499233615266
112,112,-33.570843367695964,-70.82032613975684
113,113,-33.58043231637072,-70.79947438097078
114,114,-33.62976162536003,-70.78242577071802
115,115,-33.63932991495929,-70.76157332086007
116,116,-33.62018700220355,-70.8032797601234
117,117,-33.60170988585213,-70.88862172184884
118,118,-33.61130585061411,-70.86775974569237
119,119,-33.611990548315596,-70.9113981405767
120,120,-33.41087123034848,-70.76153323902534
121,121,-33.35105374095455,-70.75584220304651
122,122,-33.360678007624195,-70.73501608869398
123,123,-33.37099861306313,-70.75773888552669
124,124,-33.340731428513976,-70.73312161452577
125,125,-33.42936492679788,-70.67632571244722
126,126,-33.43895591109434,-70.6555020619281
127,127,-33.43968907565606,-70.69904262808295
128,128,-33.44928237949509,-70.67821553347532
129,129,-33.409441763666656,-70.67443621981266
130,130,-33.41903675075204,-70.65361444968546
131,131,-33.41976762124794,-70.69715092659132
132,132,-33.46845002035109,-70.63656603979425
133,133,-33.47802435741696,-70.61574365137035
134,134,-33.47877709820986,-70.6592782707938
135,135,-33.488353753802535,-70.63845242711693
136,136,-33.44854057415463,-70.63467998035848
137,137,-33.45811891600312,-70.61385947306029
138,138,-33.4588693610531,-70.65739000227042
139,139,-33.44040724281923,-70.74259727729147
140,140,-33.450009191655006,-70.72176519155859
141,141,-33.45072099547318,-70.76532891111987
142,142,-33.46032526912676,-70.74449339783038
143,143,-33.42048350108618,-70.7407014861901
144,144,-33.43008944952207,-70.71987128076483
145,145,-33.430798970646315,-70.76343091020728
146,146,-33.479514843332666,-70.7028270174543
147,147,-33.48910014390632,-70.68199616103824
148,148,-33.48983152737454,-70.72555400065986
149,149,-33.499419151770944,-70.70471970549723
150,150,-33.45960481715715,-70.70093465834341
151,151,-33.469194119336244,-70.68010568297848
152,152,-33.469923218410855,-70.72365943149636
153,153,-33.37918130862548,-70.64984020917336
154,154,-33.38877798327994,-70.62902376855891
155,155,-33.389512892530284,-70.67254705549018
156,156,-33.399111882451635,-70.651727165461
157,157,-33.368845710322745,-70.62713901985714
158,158,-33.36957831582463,-70.67065821939832
159,159,-33.418290904773514,-70.61009209889254
160,160,-33.427870937215275,-70.58927693298854
161,161,-33.42862541762819,-70.63279424872825
162,162,-33.438207764315834,-70.61197562226145
163,163,-33.39836833980152,-70.60820890287219
164,164,-33.40795237821072,-70.58739561742819
165,165,-33.40870455319367,-70.63090884482216
166,166,-33.39984045635828,-70.69525955378695
167,167,-33.40055404635319,-70.73880602444449
168,168,-33.41016399443415,-70.71797769903354
169,169,-33.37029595511616,-70.71419152243168
170,170,-33.379907583419495,-70.69336850958834
171,171,-33.380618881052705,-70.73691089197297
172,172,-33.63547491293396,-70.5437367119795
173,173,-33.61561981099312,-70.54185810063626
174,174,-33.625949915709626,-70.56456404912903
175,175,-33.62674233419347,-70.60810808998622
176,176,-33.63627598126392,-70.58727568645587
177,177,-33.63706203095179,-70.63082887802088
178,178,-33.60528567278672,-70.51915784596956
179,179,-33.596555472822274,-70.5835106016724
180,180,-33.606090805425204,-70.56268355402726
181,181,-33.60688093711462,-70.6062235002251
182,182,-33.61641859046228,-70.58539298031853
183,183,-33.57668663070706,-70.58162855043597
184,184,-33.58622597075198,-70.56080338604005
185,185,-33.58701381311053,-70.6043392382502
186,186,-33.717988491127976,-70.72556100685061
187,187,-33.728284377483455,-70.74831453999045
188,188,-33.7084448678891,-70.74641601373884
189,189,-33.75765376266647,-70.72935462005088
190,190,-33.737824001127294,-70.72745764845308
191,191,-33.74811813851772,-70.75021339653183
192,192,-33.20025526954414,-70.6763638856178
193,193,-33.220239404320836,-70.67825197602977
194,194,-33.18026545142449,-70.67447612299758
195,195,-33.18991078020661,-70.65367345152174
196,196,-33.2222731794812,-70.80882314036867
197,197,-33.242258545528834,-70.81072380848678
198,198,-33.3001190600642,-70.68580761722134
199,199,-33.3496380359925,-70.66876971145564
200,200,-33.35035337576486,-70.71229892739795
201,201,-33.35996900487093,-70.69147779391392
202,202,-33.330405093216115,-70.71040666110035
203,203,-33.38648356989172,-70.49853896398416
